data	port	towar	Z/W	ile ton	cena za tone w talarach			
11/07/2018	Monako	T5	Z	25	39	0		
11/07/2018	Monako	T3	Z	2	20	0		
11/07/2018	Monako	T1	W	192	12	0		
05/08/2018	Barcelona	T5	W	121	63	25		
05/08/2018	Barcelona	T3	Z	30	19	0		
05/08/2018	Barcelona	T1	Z	46	8	0		
05/08/2018	Barcelona	T2	W	13	38	0		
18/08/2018	Walencja	T4	W	61	90	13		
18/08/2018	Walencja	T3	Z	19	22	0		
18/08/2018	Walencja	T5	Z	22	44	0		
18/08/2018	Walencja	T1	W	49	11	0		
04/09/2018	Algier	T4	W	4	94	17		
04/09/2018	Algier	T3	Z	8	21	0		
04/09/2018	Algier	T1	Z	47	8	0		
04/09/2018	Algier	T2	Z	9	25	0		
19/09/2018	Tunis	T5	W	26	58	15		
19/09/2018	Tunis	T1	Z	24	9	0		
19/09/2018	Tunis	T2	Z	36	26	0		
19/09/2018	Tunis	T4	Z	6	68	0		
19/09/2018	Tunis	T3	W	82	29	0		
08/10/2018	Benghazi	T1	Z	18	8	19		
08/10/2018	Benghazi	T5	Z	20	41	0		
08/10/2018	Benghazi	T2	W	45	36	0		
03/11/2018	Aleksandria	T5	Z	48	37	26		
03/11/2018	Aleksandria	T3	W	4	32	0		
24/11/2018	Bejrut	T4	Z	43	63	21		
24/11/2018	Bejrut	T2	Z	24	24	0		
24/11/2018	Bejrut	T5	W	64	61	0		
18/12/2018	Palermo	T3	Z	35	19	24		
18/12/2018	Palermo	T1	Z	41	8	0		
18/12/2018	Palermo	T4	Z	23	61	0		
18/12/2018	Palermo	T2	Z	46	23	0		
18/12/2018	Palermo	T5	W	4	62	0		
